ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
22.973494,66.819333,-7.573,2.232,-2.232,0.0,8.172,2.232,-2.232,0.0,5.3798996,2.22e-05,-2.22e-05,0,2.85,0.199,-0.199,0,8550.0,6.28051,-6.28051,0,7.09264,0.429372,-0.429372,0,104.667,891.0,12.849,0.006,-0.006,0,515.607,4.30475,-4.30475,0,4930.3,133.5,-133.5,0,4.33,0.08456055000000001,-0.08456055000000001,0,0.76,0.04,-0.04,0
312.602815,-81.443121,34.031,0.14,-0.14,0.0,-6.974,0.139,-0.139,0.0,0.733892,1.53e-05,-1.53e-05,0,0.9663799,0.0637231,-0.0637231,0,41803.8414084,2054.8794,-2054.8794,0,12.8031517,15.131779,-15.131779,0,162.6122005,910.7685622,14.9276,0.008,-0.008,0,195.854,3.042,-3.042,0,3423.0,157.0,-157.0,0,4.79,0.01,-0.01,0,0.438708,0.0139951,-0.0139951,0
243.216051,16.305882,18.748,0.045,-0.045,0.0,-42.964,0.038,-0.038,0.0,25.0882806,0.0003733,-0.0003733,0,3.769,1.36,-1.36,0,705.0,1307.19,-1307.19,0,3.89809,1.52931,-1.52931,0,135.17,949.0,9.1641,0.006,-0.006,0,68.6994,0.15275,-0.15275,0,5212.0,123.889,-123.889,0,4.51487,0.0849002,-0.0849002,0,0.86,0.05,-0.05,0
299.485693,41.118389,-1.571,0.051,-0.051,0.0,-3.469,0.049,-0.049,0.0,6.1211661,3.12e-05,-3.12e-05,0,2.501,0.433,-0.433,0,4248.0,278.862,-278.862,0,6.22933,0.7174066,-0.7174066,0,157.1,1183.01373235,12.585,0.041,-0.041,0,633.994,4.30475,-4.30475,0,6011.2,129.4,-129.4,0,4.33,0.08456055000000001,-0.08456055000000001,0,1.02,0.06,-0.06,0
130.732165,-37.634354,-11.875,0.041,-0.041,0.0,13.073,0.04,-0.04,0.0,2.9193825,2.1e-06,-2.1e-06,0,1.507,0.094,-0.094,0,11876.0,518.477,-518.477,0,12.0124,0.632978,-0.632978,0,213.872,1065.0,12.3987,0.006,-0.006,0,455.749,5.5475,-5.5475,0,6037.0,129.4,-129.4,0,4.43,0.08,-0.08,0,1.06,0.05,-0.05,0
145.645472,-62.475886,-157.239,0.045,-0.045,0.0,79.715,0.044,-0.044,0.0,1.041889,5.6e-06,-5.6e-06,0,1.2737667,0.2414362,-0.2414362,0,465.3854112,31.272263,-31.272263,0,1.389031,0.7023138,-0.7023138,0,270.068174,1033.9227741,10.1461,0.007,-0.007,0,41.7148,0.0418,-0.0418,0,3965.0,72.0,-72.0,0,4.68337,0.067569,-0.067569,0,0.603336,0.0177147,-0.0177147,0
41.323613,69.106259,0.371,0.02,-0.02,0.0,-6.774,0.027,-0.027,0.0,3.4177514,7.1e-06,-7.1e-06,0,3.415,0.155,-0.155,0,10160.0,2.47595,-2.47595,0,15.3577,0.790461,-0.790461,0,734.21,1450.0,12.5489,0.015,-0.015,0,477.787,4.2165,-4.2165,0,5868.0,158.2,-158.2,0,4.1,0.08,-0.08,0,1.52,0.07,-0.07,0
189.76217,-31.992266,-19.0,2.5,-2.5,0.0,-26.8,2.4,-2.4,0.0,13.2735511,7.7e-06,-7.7e-06,0,6.7060029,0.0245433,-0.0245433,0,21062.1535755,91.82865,-91.82865,0,19.0558857,0.0583189,-0.0583189,0,117.9936529,889.1052168,9.957501,0.006,-0.006,0,154.532,4.30475,-4.30475,0,6072.0,193.0,-193.0,0,4.29177,2.00457,-2.00457,0,1.26126,0.06,-0.06,0
159.580056,-61.289786,-20.972,0.051,-0.051,0.0,7.572,0.048,-0.048,0.0,6.0988471,0.0019955,-0.0019955,0,5.408818,0.2166711,-0.2166711,0,8857.7284148,558.46826,-558.46826,0,24.9943945,11.290005,-11.290005,0,1423.581832,1566.6261042,10.9572,0.006,-0.006,0,525.922,9.3505,-9.3505,0,7023.2,108.8,-108.8,0,4.11,1.46,-1.46,0,1.82219,0.0691734,-0.0691734,0
35.383494,32.246044,47.771,0.061,-0.061,0.0,-21.428,0.063,-0.063,0.0,4.6401269,0.0002793,-0.0002793,0,3.0320144,0.0713451,-0.0713451,0,9954.9098835,179.02782,-179.02782,0,10.2407443,0.6686679,-0.6686679,0,243.0337156,1007.016024,11.7524,0.006,-0.006,0,255.206,2.45,-2.45,0,5191.0,131.0,-131.0,0,4.37,0.08,-0.08,0,1.00936,0.0602211,-0.0602211,0
